"780","1206","124.960194765384"
"780","2712","124.23007189726"
"2628","3608","123.614802120557"
"1917","2395","122.944685260102"
"780","2395","122.217206322209"
"1206","1721","121.356755202329"
"1206","2628","120.777820423832"
"1721","1732","120.539990699593"
"2628","2657","119.519699495386"
"1997","2628","119.175349959317"
"1721","2395","117.364535876653"
"780","2959","117.058858618753"
"1544","1732","117.003716019048"
"1206","1917","116.930530284942"
"1721","2959","116.856256645003"
"1917","2712","116.673625863252"
"968","2628","116.532773601822"
"2628","3176","115.516279053345"
"25","2628","115.492180966505"
"1917","3160","115.060612832171"
"1721","2700","115.051759039888"
"2395","2628","114.859699418742"
"2628","2959","114.508020122693"
"736","2395","114.485389736757"
"1917","3608","114.136549628215"
"780","3608","114.089427745643"
"1527","1721","113.943856505494"
"1721","3052","113.831122497407"
"1183","2907","113.24241589153"
"1206","3623","113.034018374218"
"1035","1732","113.0171367518"
"2431","3160","112.910478573842"
"1544","2710","112.795106700956"
"2384","2628","112.635889729259"
"2706","3160","112.582088492896"
"2395","2706","112.163355326075"
"2617","2712","112.039876161876"
"1721","2826","111.926563312805"
"1917","2427","111.848741346197"
"1183","2628","111.514544586998"
"1732","2628","111.410459134026"
"25","780","111.401603170606"
"25","1917","111.31619626009"
"2628","3160","110.868979250713"
"2617","2710","110.79795147814"
"2628","2700","110.635980013393"
"780","3176","110.541637389577"
"780","2427","110.493327573562"
"25","104","110.428796621447"
"1721","3160","110.1868690666"
"780","2600","110.101880357538"
"2683","3176","110.096340367991"
"1183","3052","109.783489638072"
"2628","2710","109.543889052894"
"780","2710","109.51539512694"
"1917","2710","109.464431562259"
"1917","1997","109.428631469755"
"1391","1721","109.121145058519"
"780","1997","109.022841753798"
"780","3160","108.929442571098"
"736","2712","108.764098667623"
"1917","2976","108.591650795453"
"2427","3156","108.497330321697"
"1721","3535","108.484809261001"
"1721","2710","108.34169316578"
"1917","3176","108.332716638479"
"1527","1997","108.125068128502"
"2959","3623","108.098747521449"
"1035","2826","108.07523670368"
"1544","2959","107.910464898396"
"780","2700","107.81838837991"
"25","2431","107.80226780688"
"1573","2395","107.723406241305"
"736","1206","107.625041106597"
"1721","2723","107.606109635636"
"1373","2959","107.484347086855"
"780","1732","107.373467625433"
"1721","2427","107.361642086943"
"2628","3535","107.258170182876"
"1380","1732","107.10117899752"
"1035","1206","106.99948293301"
"1527","2710","106.993854569972"
"736","3608","106.980065805708"
"736","2959","106.840719011702"
"1917","2959","106.683803941284"
"3608","3623","106.651936554773"
"1676","2712","106.64250745387"
"231","2657","106.562897440523"
"2427","2683","106.554668812034"
"1721","3033","106.520594548985"
"2710","3354","106.402120420916"
"2712","3156","106.372739934086"
"2427","2706","106.194373473501"
"736","1732","106.162549303475"
"1721","2712","106.147008947783"
"1917","2600","106.121292660357"
"780","1884","105.931311806215"
"1732","1917","105.927830059234"
"1373","2700","105.881467601627"
"736","2700","105.863430701611"
"1380","2959","105.757484882909"
"1923","2628","105.574902916965"
"2431","3608","105.55912354664"
"25","2706","105.464921249175"
"780","1183","105.276034529142"
"344","2395","105.219638941401"
"1035","2959","105.216091657501"
"1544","2395","105.053826991163"
"104","3176","105.039753872937"
"1573","2710","105.020570531039"
"1380","3535","105.020051877512"
"1544","2723","104.998946272074"
"736","3160","104.987855088288"
"2431","2710","104.973692982737"
"25","1721","104.957721351469"
"1088","1997","104.931891753208"
"1721","3785","104.918732619887"
"1923","3176","104.915049803692"
"344","3535","104.914473762448"
"1732","3176","104.904905388478"
"1380","3160","104.897841161953"
"1732","2706","104.838945733595"
"2459","2628","104.819644836542"
"3160","3354","104.795173572521"
"2395","2683","104.608469176586"
"2427","2617","104.382143061258"
"2427","2628","104.367972549943"
"1917","2723","104.228878175307"
"2628","3070","104.201209742352"
"2706","3176","104.029370928629"
