"USER_ID","MOVIE_ID","VALUE","TIME"
"10","2657","4","978224779"
"10","1676","4","978229028"
"10","1721","3","979167842"
"10","2628","3","978228408"
"10","3608","3","978228601"
"10","1573","5","978229389"
"10","2021","4","979168295"
"10","780","5","978228625"
"10","2431","5","978229147"
"10","1088","5","978227300"
"10","1884","2","978229772"
"10","1035","5","979775485"
"10","1923","5","978228288"
"10","344","4","978229343"
"10","104","3","978227551"
"10","2826","4","978230540"
"10","2959","3","978226165"
"10","2617","4","978227696"
"10","1059","5","979168008"
"10","1517","3","978227961"
"10","1544","4","978224749"
"10","1380","5","978229336"
"10","208","4","978230132"
"15","231","2","978198790"
"15","2712","3","978196521"
"15","2427","2","978212046"
"15","2683","4","978196389"
"15","70","2","978212287"
"15","780","2","978198735"
"15","3535","2","978197348"
"15","3160","2","978196657"
"15","3623","3","978196692"
"15","2387","2","978212312"
"15","1923","4","978198104"
"15","344","4","978198640"
"15","104","4","978198235"
"15","2826","4","978196348"
"15","1527","4","978198581"
"15","2706","4","978196348"
"15","1732","3","978198601"
"15","2959","3","978196521"
"15","2617","1","978197517"
"15","3176","4","978196848"
"15","3354","2","978196692"
"18","288","4","978153612"
"18","1676","3","978153683"
"18","1721","4","978157031"
"18","1391","3","978153583"
"18","2628","4","978152515"
"18","2384","2","978155233"
"18","327","3","978153894"
"18","2021","4","978152486"
"18","780","3","978153540"
"18","2253","1","978153936"
"18","532","1","978155861"
"18","3623","1","978153453"
"18","2723","1","978154589"
"18","2826","4","978153540"
"18","1527","4","978153329"
"18","1732","3","978155766"
"18","736","1","978154572"
"18","2959","4","978156664"
"18","2617","1","978153540"
"18","1544","3","978153771"
"18","208","1","978153771"
"22","231","3","978154051"
"22","288","2","978136733"
"22","1676","4","978154833"
"22","1917","1","978137060"
"22","1391","4","978154178"
"22","2628","2","978154891"
"22","3608","4","978153018"
"22","70","4","978136888"
"22","1573","4","978136751"
"22","3033","4","978153139"
"22","216","2","978154178"
"22","780","3","978154891"
"22","3535","2","978136372"
"22","1205","4","978136836"
"22","3160","4","980065998"
"22","532","4","978154155"
"22","1884","4","991149055"
"22","1405","3","978135265"
"22","3917","4","978155186"
"22","1923","3","978153570"
"22","1347","2","978155097"
"22","344","2","978154074"
"22","104","3","978153710"
"22","2826","3","978136940"
"22","1527","2","978154862"
"22","1732","4","978153864"
"22","3052","4","978153880"
"22","736","2","978136997"
"22","2617","3","980066476"
"22","3176","2","981605503"
"22","1517","4","978153593"
"22","1544","1","978137060"
"22","208","2","980066243"
"22","2395","4","978153553"
"23","2657","4","978460576"
"23","2712","5","993706558"
"23","1676","3","978464211"
"23","2628","4","978464461"
"23","2384","3","978465575"
"23","327","2","993706949"
"23","70","4","978460739"
"23","1573","4","978464367"
"23","2021","2","978461604"
"23","780","4","978464541"
"23","2253","2","978461708"
"23","968","4","978464267"
"23","1206","3","978464019"
"23","3070","3","978464461"
"23","1527","5","978464211"
"23","3052","5","993706558"
"23","2617","5","993706741"
"23","1517","4","978465504"
"23","1544","3","978464842"
"23","2600","4","978464461"
"23","1997","3","978459882"
"23","674","4","978464842"
"23","2395","4","978465505"
"26","231","1","978139639"
"26","2700","1","978141688"
"26","2712","3","978139371"
"26","1917","4","978140139"
"26","1721","3","978144338"
"26","1391","1","978145944"
"26","2628","2","978143313"
"26","2459","1","978273082"
"26","2683","1","978385333"
"26","3608","1","978141896"
"26","3156","5","978144677"
"26","216","2","978145295"
"26","780","3","978144236"
"26","2335","2","978140566"
"26","1088","3","978271447"
"26","2387","3","978144832"
"26","1035","2","978273268"
"26","1923","3","978138670"
"26","1347","2","978146940"
"26","344","1","978140097"
"26","104","2","978138608"
"26","2706","3","978139135"
"26","736","3","978139735"
"26","1517","1","978142451"
"26","1544","3","978140344"
"26","1380","4","978141896"
"26","208","2","978144615"
"26","1997","3","978140772"
"36","2700","5","978061285"
"36","1676","4","978062378"
"36","2628","3","978062357"
"36","2683","5","978061532"
"36","3785","5","978062812"
"36","1573","5","978062357"
"36","3156","1","978062357"
"36","780","4","978062357"
"36","3623","5","978061768"
"36","1405","4","978061333"
"36","1923","5","978063494"
"36","1527","4","978062357"
"36","2706","5","978061508"
"36","3052","4","978063770"
"36","2959","4","978061656"
"36","2617","4","993702411"
"36","3176","5","978061871"
"36","1517","4","978063405"
"36","1544","3","978062426"
"36","785","5","978061722"
"36","2395","4","978061850"
"48","231","4","978013888"
"48","1676","3","978032556"
"48","1917","4","978064862"
"48","1721","4","977976298"
"48","2427","3","978014096"
"48","1391","2","978032413"
"48","2628","5","978032413"
"48","1183","3","978012821"
"48","2683","3","978063426"
"48","3608","2","978062094"
"48","1573","3","978013341"
"48","2021","3","978032248"
"48","3033","4","978062988"
"48","780","4","978013820"
"48","1205","3","978032270"
"48","2431","3","978146627"
"48","2335","3","978146856"
"48","3623","5","977975494"
"48","2723","2","978064692"
"48","1405","3","978059615"
"48","1035","3","978059754"
"48","1923","3","978062444"
"48","3070","3","978032248"
"48","344","3","978013974"
"48","104","3","978013312"
"48","1527","3","977976507"
"48","2706","2","978062117"
"48","1373","2","978032332"
"48","736","3","978064780"
"48","2617","3","978064780"
"48","1517","2","977976406"
"48","1544","4","978064992"
"48","3354","1","977975603"
"48","1380","3","978059946"
"48","19","2","978147297"
"48","208","4","978064780"
"53","2710","5","977948890"
"53","2657","4","977976676"
"53","2712","5","977949181"
"53","1676","2","977950489"
"53","1917","3","977975332"
"53","1721","3","977984903"
"53","1391","5","977950548"
"53","2628","4","977976632"
"53","2459","5","977980829"
"53","2683","5","977948848"
"53","3785","4","977980283"
"53","327","2","977977571"
"53","70","4","977974764"
"53","1573","4","977976596"
"53","2021","5","977976717"
"53","3033","5","977977571"
"53","3156","2","977978316"
"53","780","3","977950489"
"53","1205","4","977950419"
"53","2253","5","977981686"
"53","2606","3","977949256"
"53","1088","4","977979846"
"53","532","5","977980624"
"53","2723","5","977949405"
"53","1884","4","977986238"
"53","3752","5","977949368"
"53","968","5","977949481"
"53","1206","5","977975954"
"53","3917","5","977980504"
"53","1035","5","977979615"
"53","611","2","977976632"
"53","1347","4","977980283"
"53","1483","3","977975232"
"53","1527","4","977976353"
"53","2706","5","977948809"
"53","1732","5","977974238"
"53","736","4","977975420"
"53","2959","5","977949181"
"53","3676","4","977980073"
"53","2617","3","977975029"
"53","1059","5","977985959"
"53","1380","5","977979846"
"53","1997","5","977980114"
"53","2363","5","977976093"
"53","25","5","977984268"
"53","674","5","977976676"
"53","1726","3","977988915"
"53","2395","5","977949597"
"53","2315","3","977975723"
"58","2657","4","977942030"
"58","288","3","977935263"
"58","1676","5","977934904"
"58","1391","4","977936249"
"58","2628","4","977935606"
"58","2384","3","977938869"
"58","327","3","977942329"
"58","70","4","977935859"
"58","1573","3","977935414"
"58","2021","4","977934328"
"58","3033","4","977942193"
"58","3864","3","977936249"
"58","780","4","977942156"
"58","1205","4","977936364"
"58","3160","5","977937207"
"58","968","4","977939100"
"58","1206","5","977936953"
"58","611","3","977942104"
"58","1923","5","977938544"
"58","3070","5","977942030"
"58","2826","5","977935958"
"58","1527","4","977935918"
"58","2706","4","977941081"
"58","1373","2","977942267"
"58","736","4","977936173"
"58","2959","5","977938792"
"58","2617","4","977936040"
"58","3176","4","977941493"
"58","1517","5","977938890"
"58","1544","3","977942240"
"58","1997","4","977938113"
"58","2363","4","977935263"
"58","674","4","977942104"
"58","2395","5","977938260"
"58","2315","2","977933811"
"63","2710","3","977901058"
"63","2700","5","977900811"
"63","2712","5","977900364"
"63","2427","5","977901173"
"63","2683","2","977901008"
"63","70","4","979518495"
"63","2976","4","977900172"
"63","3160","5","977900556"
"63","2606","2","977900470"
"63","2723","2","977900595"
"63","968","5","977900636"
"63","2826","1","977900049"
"63","2706","4","977900049"
"63","2959","2","977900364"
"63","3176","4","977900811"
"63","2600","3","977900905"
"63","785","3","977900515"
"63","3273","3","977900762"
"63","2907","3","977900811"
"63","2395","5","977900762"
"73","2657","4","981315586"
"73","2700","5","977868208"
"73","1676","4","977866431"
"73","1917","2","977888499"
"73","2628","3","977866352"
"73","3785","3","977865377"
"73","3608","3","981605146"
"73","70","5","977865460"
"73","1573","4","977888399"
"73","3033","4","981605264"
"73","3864","4","977865601"
"73","780","2","977866981"
"73","1205","4","981605029"
"73","2723","4","977866389"
"73","1923","2","977867869"
"73","104","3","977867892"
"73","2826","4","977867039"
"73","1527","4","977866684"
"73","2706","2","981315464"
"73","1732","5","977868185"
"73","3052","4","981605594"
"73","1373","2","981605071"
"73","2617","3","977866389"
"73","1517","3","977868185"
"73","1544","2","977888568"
"73","785","4","981315509"
"73","208","3","977866484"
"73","1997","4","977865244"
"90","2700","4","993872622"
"90","2712","2","993875417"
"90","1917","3","993876563"
"90","1721","4","993873328"
"90","2427","3","993874236"
"90","1391","4","993876266"
"90","2628","3","993875199"
"90","2683","5","993875899"
"90","780","2","993876589"
"90","2431","2","993874933"
"90","2976","4","993875049"
"90","3160","3","993873401"
"90","2335","1","993876453"
"90","3623","3","993954774"
"90","1416","2","993875867"
"90","2723","3","993875867"
"90","3752","3","993954885"
"90","344","4","993876097"
"90","1527","5","993873643"
"90","736","3","993875637"
"90","2959","4","993872599"
"90","19","4","993877095"
"90","208","3","993876266"
"90","2395","3","993872652"
"92","2710","1","986188022"
"92","2657","4","986187575"
"92","2700","4","986187275"
"92","1676","1","986189016"
"92","1917","4","986188912"
"92","1721","4","977644832"
"92","1391","2","986711507"
"92","2683","5","986188022"
"92","3785","4","977645013"
"92","327","1","986187696"
"92","3608","1","977647086"
"92","70","1","986711645"
"92","1573","5","977806831"
"92","3033","5","977807067"
"92","3864","1","977645166"
"92","216","5","977876274"
"92","780","3","986711347"
"92","3535","1","986186527"
"92","2606","4","986188201"
"92","1088","4","986187631"
"92","3623","1","986186849"
"92","2723","1","986188272"
"92","3752","1","986186549"
"92","1405","1","986187379"
"92","1035","5","986187575"
"92","1923","2","977859829"
"92","104","3","977876185"
"92","2826","1","986188022"
"92","2861","1","986188201"
"92","1527","1","977806913"
"92","2706","4","986188022"
"92","736","2","986188912"
"92","2959","5","986188201"
"92","3176","2","986188470"
"92","1544","2","977807164"
"92","1380","5","986187575"
"92","208","1","986189016"
"92","3273","2","986188470"
"92","1997","2","977644971"
"92","2363","1","986711189"
"92","3225","1","986186617"
"117","2710","4","977503845"
"117","1924","4","977504597"
"117","2657","4","977506582"
"117","2700","4","977501979"
"117","1676","4","977501447"
"117","1917","3","977501571"
"117","2427","3","977501447"
"117","1391","2","977501613"
"117","2628","4","977501447"
"117","2459","2","977503363"
"117","3785","3","978643873"
"117","327","3","977501803"
"117","3608","2","977497439"
"117","1573","3","977501493"
"117","2021","5","977502244"
"117","3033","3","977506603"
"117","3156","3","977507286"
"117","780","4","977501371"
"117","1205","4","977502072"
"117","3623","4","977500904"
"117","1405","1","977502126"
"117","3917","3","977497485"
"117","611","4","977504650"
"117","1923","1","977498521"
"117","3070","5","977497289"
"117","2826","5","977501470"
"117","1527","4","977501316"
"117","1373","3","977506813"
"117","736","4","977501594"
"117","2617","5","977501402"
"117","1544","2","977501755"
"117","3754","1","977501199"
"117","3354","3","977495431"
"117","1380","3","977507842"
"117","1997","5","977503705"
"117","674","3","977506624"
"117","2315","1","977504569"
"136","2710","5","977423292"
"136","231","1","977424131"
"136","2657","4","977530554"
"136","2712","5","977422645"
"136","1391","2","977531191"
"136","2384","5","977422076"
"136","327","1","977530567"
"136","3608","5","977421988"
"136","3033","3","977423786"
"136","1088","1","977530554"
"136","532","4","977531133"
"136","1416","3","977424146"
"136","1405","1","977531255"
"136","3917","1","977422807"
"136","1035","3","977530517"
"136","1923","1","977422851"
"136","1732","2","977530915"
"136","2361","5","977422188"
"136","1059","4","977422820"
"136","1517","4","977530954"
"136","3910","5","977530294"
"136","1997","5","977421942"
"136","674","5","977423734"
"136","2395","5","977530728"
"137","2710","1","977373059"
"137","288","4","1000868034"
"137","2712","4","977373208"
"137","1676","3","1000867687"
"137","2427","3","1000867933"
"137","1391","4","1000870148"
"137","2628","4","1000867567"
"137","1183","4","1000869470"
"137","70","3","1000868444"
"137","1573","4","1000869784"
"137","780","4","1000869832"
"137","532","3","1000868854"
"137","1416","4","1000868974"
"137","2826","2","977373015"
"137","1527","4","1000869784"
"137","1732","4","1000868202"
"137","736","4","1000869694"
"137","2959","3","977373208"
"137","2617","4","1000867810"
"137","3176","3","977373399"
"137","1544","4","1000867717"
"137","1380","3","977372387"
"137","208","4","1000867717"
"137","25","3","1000869306"
"139","2710","5","977362548"
"139","2657","5","977361591"
"139","288","2","977361871"
"139","2700","3","977360263"
"139","1676","4","977361923"
"139","1391","4","977362959"
"139","2628","4","977360439"
"139","2459","1","977362548"
"139","2384","3","977361288"
"139","2021","5","977359437"
"139","3033","3","977361642"
"139","780","4","977361617"
"139","2723","4","977362297"
"139","1206","5","977359883"
"139","3917","3","977359822"
"139","3070","4","977362276"
"139","1347","5","977362487"
"139","1527","5","977361512"
"139","3052","5","977361227"
"139","2959","5","977360992"
"139","2361","4","977361187"
"139","2617","5","977362297"
"139","1997","4","977362474"
"139","2363","4","977361536"
"139","674","3","977361512"
"147","2657","1","977358510"
"147","1676","4","977336853"
"147","1917","4","977336900"
"147","2427","4","977336825"
"147","1391","2","977337008"
"147","2628","4","977336800"
"147","1573","4","977336736"
"147","780","4","977336917"
"147","2253","2","977337139"
"147","3160","3","977337650"
"147","3623","4","977358282"
"147","1527","3","977336706"
"147","736","3","977336882"
"147","2959","5","977337295"
"147","2617","2","977336882"
"147","1059","4","977357872"
"147","1544","2","977358524"
"147","3354","2","977358401"
"147","3273","3","977358301"
"147","25","3","977357609"
"148","1924","1","979575683"
"148","231","3","979578136"
"148","1676","1","977334003"
"148","1917","4","977334003"
"148","1721","4","977353019"
"148","2427","3","977353127"
"148","1391","4","977334083"
"148","2628","3","977354128"
"148","1183","1","977353249"
"148","2683","3","977352553"
"148","327","1","977334427"
"148","1573","4","977333611"
"148","2021","3","979576444"
"148","3033","4","979576348"
"148","780","5","977333694"
"148","2431","4","977353328"
"148","2335","4","979578902"
"148","1088","4","979576198"
"148","3623","3","977333726"
"148","1416","1","977353923"
"148","3070","3","979576407"
"148","2826","4","977333848"
"148","1527","3","977333469"
"148","1373","4","979576686"
"148","736","5","977335047"
"148","2617","4","977333569"
"148","3176","2","977353097"
"148","1517","3","979577517"
"148","1544","4","977334117"
"148","3754","3","977335486"
